review_id,predicted_filtered,confidence,primary_signal,reasoning
422094,False,0.75,reviewer_pattern,"Singleton reviewer is the only flag, but a detailed authentic-sounding complaint with no business burst or templated text to corroborate it."
43928,False,0.9,combination,"Established reviewer with real rating variance, normal business trend, low text similarity — all signals clean."
258624,False,0.85,business_trend,Mild business burst (1.7) but reviewer has real history and variance; nothing else corroborates a campaign.
221457,False,0.65,text_similarity,"Notably high similarity (0.644) to the reviewer's one other review, but both are long, specific, personally-voiced reviews sharing a 'meh' framing device — reads like a personal writing tic, not a template. Long, detailed, business-specific complaint is hard to fake convincingly."
398211,False,0.65,reviewer_pattern,"Singleton reviewer, but business shows zero unusual review activity around this date — no corroborating burst."
426868,False,0.78,reviewer_pattern,"Singleton reviewer at a large, established business with normal review pace — weak signal, no corroboration."
90854,False,0.9,combination,"Reviewer has a real history with natural variance, business trend is calm, similarity reflects personal phrasing habits, not templating."
404414,True,0.75,combination,"Singleton account posting during a 5.43x business review-velocity spike, at a small business — the same pattern (behavioral signals strong, text similarity low) as a confirmed coordinated-campaign case found earlier in this project."
330001,False,0.88,combination,"Long, highly specific, personally-voiced review from an established 33-review account; business trend is calm; similarity reflects a consistent personal writing style, not fraud."
274527,False,0.7,reviewer_pattern,"Singleton reviewer, but business shows only normal review pace and the text is detailed and specific — no corroborating signal for a campaign."
395554,False,0.85,combination,"Reviewer has real history with natural rating variance; moderate business burst is plausible for a large, popular, established business; low text similarity; casual authentic voice."
367725,False,0.75,reviewer_pattern,"Singleton reviewer, but business shows below-normal activity — no corroborating spike."
499849,False,0.85,combination,"Established reviewer with real variance, mild business burst, low similarity — clean."
75582,False,0.85,reviewer_pattern,"Reviewer posts rarely (464-day gap between reviews) — a sparse, casual real-user pattern, not spam. No other red flags."
253491,False,0.92,combination,"Active, established reviewer with real variance; mild business trend; low similarity — clean case."
222939,False,0.78,reviewer_pattern,"Singleton reviewer, but business shows essentially normal review pace (burst_ratio ~1) — no corroboration; long, personally-voiced text."
223093,False,0.8,reviewer_pattern,"Thin history (1 other review) but business is in a quiet period with no burst, and the text is specific and genuine-sounding (mentions owner behavior, vacation closures)."
453288,False,0.7,reviewer_pattern,"Reviewer posted 3 reviews same day (mild flag), but ratings vary and one comparison text is starkly different in length/style, suggesting real varied writing; business burst is plausible for a very popular, high-traffic pizza spot."
101431,False,0.95,combination,"Highly established reviewer (135 other reviews) with real variance, mild business trend, low similarity — about as clean as evidence gets."
182568,False,0.92,combination,"Active established reviewer, balanced review (praises some dishes, criticizes others), mild business trend, low-moderate similarity reflecting normal review-writing patterns."
522207,False,0.85,reviewer_pattern,"Sparse, years-spanning posting history with real rating variance; small business is in a quiet period; casual typo-laden text reads genuine."
472003,False,0.78,reviewer_pattern,"Singleton reviewer, but business shows normal-to-below pace; detailed narrative naming a specific staff member reads authentic."
151573,False,0.85,combination,"Established sparse reviewer, calm business trend, moderate but unremarkable similarity — clean."
